document,text,score,has_metrics,source_url
ГОСТ 31251-2003,"Интервал времени регистрации показаний тепломеров не должен превышать 10 с, термопар - 60 с. 6 Образцы конструкций для испытаний 6.1 Испытанию подвергают два образца.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,"Условия сжигания топлива при испытании образца стены должны быть воспроизведены как при калибровке и не должны быть подвергнуты корректировке, о чем должна быть сделана запись в протоколе испытания. 5.8 В качестве твердого топлива для обеспечения требуемых параметров теплового воздействия на внешнюю сторону калибровочного образца и образца испытуемой стены рекомендуется использовать древесину хвойных пород в виде брусков с весовой влажностью 12% - 15%.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,При проведении калибровки испытательной установки к огневой камере крепят фрагмент стены без образцов защитно-декоративных систем. 5.7 Параметры теплового режима и параметры факела пламени на внешней стороне фрагмента стены при калибровке установки должны соответствовать требованиям раздела 7.,5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,"А.4.2 При изменении в процессе выполнения ТА массы образца идентифицируемого материала на 10% и более следует обеспечить такие условия выполнения ТА, чтобы изменение значений регистрируемых параметров было не более 5%.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,А.3.4 Массу и размеры образцов определяют с учетом технических требований инструкции по эксплуатации используемого для выполнения ТА прибора.,5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,А.3 Подготовка к проведению испытаний образцов идентифицируемого материала А.3.1 Для идентификационного контроля отбирают не менее пяти проб материала объемом не менее 1 см 3 каждая: - не менее чем из трех проб изготавливают образцы для выполнения ТА; - не менее двух проб оставляют на контрольное хранение.,5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,"При этом допускается не включать в протокол испытаний сведения о воспламеняемости и дымообразующей способности материалов. 11.2 К протоколу испытаний должны быть приложены протоколы идентификационного контроля материалов (см. приложения А и Б ), применяемые при изготовлении образца испытуемой конструкции, пробы которых отбирают в соответствии с 6.9 . 11.3 В протоколе испытаний в соответствии с 5.7 должна быть сделана запись о виде использованного топлива и условиях его сжигания.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,"Остальные значения фиксированной потери образцом относительной массы определяют по достаточно характерным точкам на ТГ-зависимости, например, 5%, 10%, 50%, 96%.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,"А.5.3 Потерю массы идентифицируемого материала [см. А.1.1, перечисление а) ] рекомендуется также характеризовать потерей относительной массы , %, при фиксированных значениях температуры °C, по достаточно характерным точкам на ТГ-зависимости, аналогично выделяя на ней не менее пяти характерных точек, например, 350 °C, 400 °C, 420 °C, 550 °C, 670 °C.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
ГОСТ 31251-2003,"При этом первое значение потери образцом относительной массы , %, следует принимать равным 0,5%, фиксируя соответствующую ему температуру , °C, а конечное , %, - следует определять при температуре, соответствующей окончанию всех контролируемых при ТА явлений, но не ниже 750 °C.",5.0,True,https://meganorm.ru/mega_doc/norm/gost_gosudarstvennyj-standart/4/gost_31251-2008_mezhgosudarstvennyy_standart_steny_naruzhnye.html
